County_Name,ELI_2_17,ELI_2_22,Metro_Area_Name,State_Alpha,_id,county,county_town_name,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,l50_2_17,l50_2_22,l80_2_17,l80_2_22,median2017,median2022,metro,metro_code,state,state_name
Autauga County,16240,18310,"Montgomery, AL MSA",AL,100199999,1,Autauga County,587,682,822,1054,1425,643,764,914,1156,1494,23900,30200,38200,48350,59700,75500,1,METRO33860M33860,1,Alabama
Baldwin County,16240,20550,"Daphne-Fairhope-Foley, AL MSA",AL,100399999,3,Baldwin County,807,847,977,1422,1634,772,777,1017,1348,1715,24600,34200,39400,54750,61500,85500,1,METRO19300M19300,1,Alabama
Barbour County,16240,18310,"Barbour County, AL",AL,100599999,5,Barbour County,501,505,671,839,958,532,536,705,871,980,18450,24650,29550,39450,46100,46400,0,NCNTY01005N01005,1,Alabama
Bibb County,16240,20400,"Birmingham-Hoover, AL HUD Metro FMR Area",AL,100799999,7,Bibb County,665,751,866,1163,1298,765,820,943,1220,1316,25250,33950,40400,54300,63100,84800,1,METRO13820M13820,1,Alabama
Blount County,16240,20400,"Birmingham-Hoover, AL HUD Metro FMR Area",AL,100999999,9,Blount County,665,751,866,1163,1298,765,820,943,1220,1316,25250,33950,40400,54300,63100,84800,1,METRO13820M13820,1,Alabama
Bullock County,16240,18310,"Bullock County, AL",AL,101199999,11,Bullock County,491,494,621,853,856,589,602,783,968,1158,18450,24650,29550,39450,46100,48200,0,NCNTY01011N01011,1,Alabama
Butler County,16240,18310,"Butler County, AL",AL,101399999,13,Butler County,464,467,621,849,1094,530,619,705,871,1043,18300,24650,29250,39450,40900,56100,0,NCNTY01013N01013,1,Alabama
Calhoun County,16240,18310,"Anniston-Oxford-Jacksonville, AL MSA",AL,101599999,15,Calhoun County,437,474,630,818,918,562,565,744,988,1111,20100,27550,32150,44050,53000,68800,1,METRO11500M11500,1,Alabama
Chambers County,16240,18310,"Chambers County, AL",AL,101799999,17,Chambers County,476,601,751,940,1035,655,659,861,1074,1168,18300,24650,29250,39450,44700,59500,0,NCNTY01017N01017,1,Alabama
Cherokee County,16240,18310,"Cherokee County, AL",AL,101999999,19,Cherokee County,464,467,621,884,887,530,536,705,982,1006,18750,24650,30000,39450,46800,61700,0,NCNTY01019N01019,1,Alabama
Chilton County,16240,18310,"Chilton County, AL HUD Metro FMR Area",AL,102199999,21,Chilton County,484,538,621,904,1094,583,619,705,978,982,21100,25300,33750,40450,52700,61100,1,METRO13820N01021,1,Alabama
Choctaw County,16240,18310,"Choctaw County, AL",AL,102399999,23,Choctaw County,512,515,685,857,978,530,536,705,871,1182,20150,24650,32200,39450,52500,52000,0,NCNTY01023N01023,1,Alabama
Clarke County,16240,18310,"Clarke County, AL",AL,102599999,25,Clarke County,513,538,621,896,1003,530,550,705,1001,1207,19250,24650,30800,39450,48100,58900,0,NCNTY01025N01025,1,Alabama
Clay County,16240,18310,"Clay County, AL",AL,102799999,27,Clay County,513,538,621,884,887,495,609,705,961,1120,18300,24650,29250,39450,44100,55600,0,NCNTY01027N01027,1,Alabama
Cleburne County,16240,18310,"Cleburne County, AL",AL,102999999,29,Cleburne County,495,498,662,828,947,530,564,705,974,1043,19400,25000,31000,40000,48400,63700,0,NCNTY01029N01029,1,Alabama
Coffee County,16240,18310,"Coffee County, AL",AL,103199999,31,Coffee County,546,552,661,962,1165,546,586,727,1033,1154,24600,30050,39400,48100,61500,75100,0,NCNTY01031N01031,1,Alabama
Colbert County,16240,18310,"Florence-Muscle Shoals, AL MSA",AL,103399999,33,Colbert County,529,532,673,897,1091,525,575,751,935,1173,21400,27300,34250,43650,53500,68200,1,METRO22520M22520,1,Alabama
Conecuh County,16240,18310,"Conecuh County, AL",AL,103599999,35,Conecuh County,464,467,621,884,887,530,619,705,982,1043,18300,24650,29250,39450,34900,53300,0,NCNTY01035N01035,1,Alabama
Coosa County,16240,18310,"Coosa County, AL",AL,103799999,37,Coosa County,540,543,683,912,976,550,563,732,905,1083,18500,24650,29600,39450,45100,54100,0,NCNTY01037N01037,1,Alabama
Covington County,16240,18310,"Covington County, AL",AL,103999999,39,Covington County,464,467,621,820,1094,530,536,705,929,1145,18650,25300,29850,40450,46600,60100,0,NCNTY01039N01039,1,Alabama
Crenshaw County,16240,18310,"Crenshaw County, AL",AL,104199999,41,Crenshaw County,477,480,621,818,1029,530,536,705,871,1043,20400,25700,32650,41100,51000,64200,0,NCNTY01041N01041,1,Alabama
Cullman County,16240,18310,"Cullman County, AL",AL,104399999,43,Cullman County,492,521,652,832,899,559,607,747,1009,1013,19200,25650,30750,41050,48000,67700,0,NCNTY01043N01043,1,Alabama
Dale County,16240,18310,"Dale County, AL",AL,104599999,45,Dale County,414,500,635,891,1119,595,599,705,1001,1207,23150,25550,37000,40850,57800,63800,0,NCNTY01045N01045,1,Alabama
Dallas County,16240,18310,"Dallas County, AL",AL,104799999,47,Dallas County,476,514,621,820,1021,529,561,738,912,1001,18300,24650,29250,39450,38900,50400,0,NCNTY01047N01047,1,Alabama
DeKalb County,16240,18310,"DeKalb County, AL",AL,104999999,49,DeKalb County,597,601,797,1001,1099,468,555,705,953,1054,19500,24650,31200,39450,48700,61000,0,NCNTY01049N01049,1,Alabama
Elmore County,16240,18310,"Montgomery, AL MSA",AL,105199999,51,Elmore County,587,682,822,1054,1425,643,764,914,1156,1494,23900,30200,38200,48350,59700,75500,1,METRO33860M33860,1,Alabama
Escambia County,16240,18310,"Escambia County, AL",AL,105399999,53,Escambia County,513,538,621,799,882,530,573,705,883,1160,18300,24650,29250,39450,38000,54400,0,NCNTY01053N01053,1,Alabama
Etowah County,16240,18310,"Gadsden, AL MSA",AL,105599999,55,Etowah County,527,545,716,896,1028,547,580,710,894,970,21900,25300,35000,40450,54700,59700,1,METRO23460M23460,1,Alabama
Fayette County,16240,18310,"Fayette County, AL",AL,105799999,57,Fayette County,495,538,621,884,887,530,609,705,871,1043,18300,24650,29250,39450,45200,57100,0,NCNTY01057N01057,1,Alabama
Franklin County,16240,18310,"Franklin County, AL",AL,105999999,59,Franklin County,495,523,621,777,887,530,588,705,871,1171,18800,24650,30000,39450,46900,56900,0,NCNTY01059N01059,1,Alabama
Geneva County,16240,18310,"Dothan, AL HUD Metro FMR Area",AL,106199999,61,Geneva County,508,511,656,883,1042,561,565,705,929,1043,20300,27750,32450,44400,50700,69300,1,METRO20020M20020,1,Alabama
Greene County,16240,18310,"Greene County, AL HUD Metro FMR Area",AL,106399999,63,Greene County,491,494,621,884,887,562,565,705,871,956,19150,24650,30600,39450,29800,41700,1,METRO46220M01063,1,Alabama
Hale County,16240,18650,"Tuscaloosa, AL HUD Metro FMR Area",AL,106599999,65,Hale County,566,643,782,1004,1078,758,762,927,1162,1257,23750,31050,38000,49700,61100,77600,1,METRO46220M46220,1,Alabama
Henry County,16240,18310,"Henry County, AL HUD Metro FMR Area",AL,106799999,67,Henry County,513,538,621,784,1094,540,543,705,931,1112,23350,27000,37350,43200,58300,67500,1,METRO20020N01067,1,Alabama
