,County_Name,county,county_town_name,state,state_name,State_Alpha,Metro_Area_Name,ELI_2_17,ELI_2_22,median2017,median2022,_id_x,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,l50_2_17,l50_2_22,l80_2_17,l80_2_22,metro,metro_code,state_county_code,_id_y,ave_util_allow_17,ave_util_allow_21,code_21,entities,hh_income_17,hh_income_21,months_from_movein_17,months_from_movein_21,months_waiting_17,months_waiting_21,name_17,name_21,pct_utility_allow_17,pct_utility_allow_21,program_label_17,program_label_21,census_region,census_region_name
0,Autauga County,1,Autauga County,1,Alabama,AL,"Montgomery, AL MSA",16240,18310,59700,75500,100199999,587,682,822,1054,1425,643,764,914,1156,1494,23900,30200,38200,48350,1,METRO33860M33860,1001,62efb19aaf83d320cc1839f2,162,189,1001,AL Autauga County 01001,13903,14185,87,107,7,-1,Autauga County,Autauga County,100,100,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
1,Baldwin County,3,Baldwin County,1,Alabama,AL,"Daphne-Fairhope-Foley, AL MSA",16240,20550,61500,85500,100399999,807,847,977,1422,1634,772,777,1017,1348,1715,24600,34200,39400,54750,1,METRO19300M19300,1003,62efb19aaf83d320cc1839f3,195,211,1003,AL Baldwin County 01003,13529,14275,102,116,52,9,Baldwin County,Baldwin County,96,98,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
2,Barbour County,5,Barbour County,1,Alabama,AL,"Barbour County, AL",16240,18310,46100,46400,100599999,501,505,671,839,958,532,536,705,871,980,18450,24650,29550,39450,0,NCNTY01005N01005,1005,62efb19aaf83d320cc1839f4,178,192,1005,AL Barbour County 01005,12884,13396,72,89,6,6,Barbour County,Barbour County,100,100,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
3,Blount County,9,Blount County,1,Alabama,AL,"Birmingham-Hoover, AL HUD Metro FMR Area",16240,20400,63100,84800,100999999,665,751,866,1163,1298,765,820,943,1220,1316,25250,33950,40400,54300,1,METRO13820M13820,1009,62efb19aaf83d320cc1839f5,120,158,1009,AL Blount County 01009,12686,14428,82,92,6,9,Blount County,Blount County,100,100,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
4,Butler County,13,Butler County,1,Alabama,AL,"Butler County, AL",16240,18310,40900,56100,101399999,464,467,621,849,1094,530,619,705,871,1043,18300,24650,29250,39450,0,NCNTY01013N01013,1013,62efb19aaf83d320cc1839f6,151,195,1013,AL Butler County 01013,11408,12531,53,65,5,7,Butler County,Butler County,100,100,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
5,Calhoun County,15,Calhoun County,1,Alabama,AL,"Anniston-Oxford-Jacksonville, AL MSA",16240,18310,53000,68800,101599999,437,474,630,818,918,562,565,744,988,1111,20100,27550,32150,44050,1,METRO11500M11500,1015,62efb19aaf83d320cc1839f7,179,186,1015,AL Calhoun County 01015,12199,12574,77,71,41,39,Calhoun County,Calhoun County,100,99,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
6,Chambers County,17,Chambers County,1,Alabama,AL,"Chambers County, AL",16240,18310,44700,59500,101799999,476,601,751,940,1035,655,659,861,1074,1168,18300,24650,29250,39450,0,NCNTY01017N01017,1017,62efb19aaf83d320cc1839f8,145,144,1017,AL Chambers County 01017,12473,12981,30,65,25,16,Chambers County,Chambers County,100,100,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
7,Cleburne County,29,Cleburne County,1,Alabama,AL,"Cleburne County, AL",16240,18310,48400,63700,102999999,495,498,662,828,947,530,564,705,974,1043,19400,25000,31000,40000,0,NCNTY01029N01029,1029,62efb19aaf83d320cc1839f9,127,126,1029,AL Cleburne County 01029,11833,13344,89,92,10,16,Cleburne County,Cleburne County,100,100,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
8,Coffee County,31,Coffee County,1,Alabama,AL,"Coffee County, AL",16240,18310,61500,75100,103199999,546,552,661,962,1165,546,586,727,1033,1154,24600,30050,39400,48100,0,NCNTY01031N01031,1031,62efb19aaf83d320cc1839fa,155,166,1031,AL Coffee County 01031,12263,14439,47,57,9,7,Coffee County,Coffee County,100,99,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
9,Colbert County,33,Colbert County,1,Alabama,AL,"Florence-Muscle Shoals, AL MSA",16240,18310,53500,68200,103399999,529,532,673,897,1091,525,575,751,935,1173,21400,27300,34250,43650,1,METRO22520M22520,1033,62efb19aaf83d320cc1839fb,205,204,1033,AL Colbert County 01033,11983,13071,90,89,61,8,Colbert County,Colbert County,97,85,Housing Choice Vouchers,Housing Choice Vouchers,6,East South Central
