cbsasub,_id,state_name,State_Alpha,Metro_Area_Name,county_town_name,County_Name,state,county,metro,median2017,l50_2_17,ELI_2_17,l80_2_17,median2022,l50_2_22,ELI_2_22,l80_2_22
METRO33860M33860,100199999,Alabama,AL,"Montgomery, AL MSA",Autauga County,Autauga County,1,1,1,59700,23900,16240,38200,75500,30200,18310,48350
METRO19300M19300,100399999,Alabama,AL,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,Baldwin County,1,3,1,61500,24600,16240,39400,85500,34200,20550,54750
NCNTY01005N01005,100599999,Alabama,AL,"Barbour County, AL",Barbour County,Barbour County,1,5,0,46100,18450,16240,29550,46400,24650,18310,39450
METRO13820M13820,100799999,Alabama,AL,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,Bibb County,1,7,1,63100,25250,16240,40400,84800,33950,20400,54300
METRO13820M13820,100999999,Alabama,AL,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,Blount County,1,9,1,63100,25250,16240,40400,84800,33950,20400,54300
NCNTY01011N01011,101199999,Alabama,AL,"Bullock County, AL",Bullock County,Bullock County,1,11,0,46100,18450,16240,29550,48200,24650,18310,39450
NCNTY01013N01013,101399999,Alabama,AL,"Butler County, AL",Butler County,Butler County,1,13,0,40900,18300,16240,29250,56100,24650,18310,39450
METRO11500M11500,101599999,Alabama,AL,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,Calhoun County,1,15,1,53000,20100,16240,32150,68800,27550,18310,44050
NCNTY01017N01017,101799999,Alabama,AL,"Chambers County, AL",Chambers County,Chambers County,1,17,0,44700,18300,16240,29250,59500,24650,18310,39450
NCNTY01019N01019,101999999,Alabama,AL,"Cherokee County, AL",Cherokee County,Cherokee County,1,19,0,46800,18750,16240,30000,61700,24650,18310,39450
METRO13820N01021,102199999,Alabama,AL,"Chilton County, AL HUD Metro FMR Area",Chilton County,Chilton County,1,21,1,52700,21100,16240,33750,61100,25300,18310,40450
NCNTY01023N01023,102399999,Alabama,AL,"Choctaw County, AL",Choctaw County,Choctaw County,1,23,0,52500,20150,16240,32200,52000,24650,18310,39450
NCNTY01025N01025,102599999,Alabama,AL,"Clarke County, AL",Clarke County,Clarke County,1,25,0,48100,19250,16240,30800,58900,24650,18310,39450
NCNTY01027N01027,102799999,Alabama,AL,"Clay County, AL",Clay County,Clay County,1,27,0,44100,18300,16240,29250,55600,24650,18310,39450
NCNTY01029N01029,102999999,Alabama,AL,"Cleburne County, AL",Cleburne County,Cleburne County,1,29,0,48400,19400,16240,31000,63700,25000,18310,40000
