fips2010,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,metro_code,metro
2300512300,755,851,1078,1454,1579,1088,1265,1637,2088,2557,METRO38860MM6400,1
6099999999,502,506,677,987,1038,614,618,813,1155,1247,NCNTY60999N60999,0
6999999999,411,498,666,961,1158,532,608,800,1136,1369,NCNTY69999N69999,0
100199999,587,682,822,1054,1425,643,764,914,1156,1494,METRO33860M33860,1
100399999,807,847,977,1422,1634,772,777,1017,1348,1715,METRO19300M19300,1
100599999,501,505,671,839,958,532,536,705,871,980,NCNTY01005N01005,0
100799999,665,751,866,1163,1298,765,820,943,1220,1316,METRO13820M13820,1
100999999,665,751,866,1163,1298,765,820,943,1220,1316,METRO13820M13820,1
101199999,491,494,621,853,856,589,602,783,968,1158,NCNTY01011N01011,0
101399999,464,467,621,849,1094,530,619,705,871,1043,NCNTY01013N01013,0
101599999,437,474,630,818,918,562,565,744,988,1111,METRO11500M11500,1
101799999,476,601,751,940,1035,655,659,861,1074,1168,NCNTY01017N01017,0
101999999,464,467,621,884,887,530,536,705,982,1006,NCNTY01019N01019,0
102199999,484,538,621,904,1094,583,619,705,978,982,METRO13820N01021,1
102399999,512,515,685,857,978,530,536,705,871,1182,NCNTY01023N01023,0
102599999,513,538,621,896,1003,530,550,705,1001,1207,NCNTY01025N01025,0
102799999,513,538,621,884,887,495,609,705,961,1120,NCNTY01027N01027,0
102999999,495,498,662,828,947,530,564,705,974,1043,NCNTY01029N01029,0
103199999,546,552,661,962,1165,546,586,727,1033,1154,NCNTY01031N01031,0
103399999,529,532,673,897,1091,525,575,751,935,1173,METRO22520M22520,1
103599999,464,467,621,884,887,530,619,705,982,1043,NCNTY01035N01035,0
103799999,540,543,683,912,976,550,563,732,905,1083,NCNTY01037N01037,0
103999999,464,467,621,820,1094,530,536,705,929,1145,NCNTY01039N01039,0
104199999,477,480,621,818,1029,530,536,705,871,1043,NCNTY01041N01041,0
104399999,492,521,652,832,899,559,607,747,1009,1013,NCNTY01043N01043,0
104599999,414,500,635,891,1119,595,599,705,1001,1207,NCNTY01045N01045,0
104799999,476,514,621,820,1021,529,561,738,912,1001,NCNTY01047N01047,0
104999999,597,601,797,1001,1099,468,555,705,953,1054,NCNTY01049N01049,0
105199999,587,682,822,1054,1425,643,764,914,1156,1494,METRO33860M33860,1
105399999,513,538,621,799,882,530,573,705,883,1160,NCNTY01053N01053,0
105599999,527,545,716,896,1028,547,580,710,894,970,METRO23460M23460,1
105799999,495,538,621,884,887,530,609,705,871,1043,NCNTY01057N01057,0
105999999,495,523,621,777,887,530,588,705,871,1171,NCNTY01059N01059,0
106199999,508,511,656,883,1042,561,565,705,929,1043,METRO20020M20020,1
106399999,491,494,621,884,887,562,565,705,871,956,METRO46220M01063,1
106599999,566,643,782,1004,1078,758,762,927,1162,1257,METRO46220M46220,1
106799999,513,538,621,784,1094,540,543,705,931,1112,METRO20020N01067,1
106999999,508,511,656,883,1042,561,565,705,929,1043,METRO20020M20020,1
107199999,409,528,644,806,888,530,595,705,871,1043,NCNTY01071N01071,0
107399999,665,751,866,1163,1298,765,820,943,1220,1316,METRO13820M13820,1
107599999,495,515,621,818,887,530,589,705,915,956,NCNTY01075N01075,0
107799999,529,532,673,897,1091,525,575,751,935,1173,METRO22520M22520,1
107999999,427,515,640,852,894,554,592,720,946,1009,METRO19460M19460,1
108199999,543,600,798,1075,1302,672,706,924,1222,1383,METRO12220M12220,1
108399999,541,620,746,1014,1314,647,757,897,1189,1428,METRO26620M26620,1
108599999,587,682,822,1054,1425,643,764,914,1156,1494,METRO33860M33860,1
108799999,472,475,621,904,1012,546,552,726,915,1243,NCNTY01087N01087,0
108999999,541,620,746,1014,1314,647,757,897,1189,1428,METRO26620M26620,1
109199999,471,474,621,876,887,530,619,705,906,1043,NCNTY01091N01091,0
109399999,464,467,621,807,891,530,536,705,932,1206,NCNTY01093N01093,0
109599999,464,467,621,853,856,550,553,715,957,970,NCNTY01095N01095,0
109799999,727,732,892,1163,1346,662,690,861,1148,1244,METRO33660M33660,1
